Name,Hex (24 bit),Red ,Green,Blue,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",,
Rose red,#C21E56,194,30,86,340,73,44,,
Rose taupe,#905D5D,144,93,93,0,22,46,,
Rose vale,#AB4E52,171,78,82,357,37,49,,
Rosewood,#65000B,101,0,11,353,100,20,,
Rosso corsa,#D40000,212,0,0,0,100,42,,
Brown,#BC8F8F,188,143,143,0,25,65,,
Royal azure,#0038A8,0,56,168,220,100,33,,
Royal blue,#002366,0,35,102,219,100,20,,
Royal blue,#4169E1,65,105,225,225,73,57,,
Royal fuchsia,#CA2C92,202,44,146,321,64,48,,
Royal purple,#7851A9,120,81,169,267,35,49,,
Royal yellow,#FADA5E,250,218,94,48,94,67,,
Ruber,#CE4676,206,70,118,339,58,54,,
Rubine red,#D10056,209,0,86,335,100,41,,
Ruby,#E0115F,224,17,95,337,86,47,,
Ruby red,#9B111E,155,17,30,354,80,34,,
Ruddy,#FF0028,255,0,40,351,100,50,,
Brown,#BB6528,187,101,40,25,65,45,,
Pink,#E18E96,225,142,150,354,58,72,,
Rufous,#A81C07,168,28,7,8,92,34,,
Russet,#80461B,128,70,27,26,65,30,,
Russian green,#679267,103,146,103,120,17,49,,
Russian violet,#32174D,50,23,77,270,54,20,,
Rust,#B7410E,183,65,14,18,86,39,,
Rusty red,#DA2C43,218,44,67,352,70,51,,
Sacramento State green,#00563F,0,86,63,164,100,17,,
Brown,#8B4513,139,69,19,25,76,31,,
Orange,#FF7800,255,120,0,28,100,50,,
Orange,#FF6700,255,103,0,24,100,50,,
Yellow,#EED202,238,210,2,53,98,47,,
Yellow,#F4C430,244,196,48,45,90,57,,
Green,#BCB88A,188,184,138,55,27,64,,
St. Patrick's blue,#23297A,35,41,122,236,55,31,,
Salmon,#FA8072,250,128,114,6,93,71,,
Pink,#FF91A4,255,145,164,350,100,78,,
Brown,#C2B280,194,178,128,45,35,63,,
Brown,#967117,150,113,23,43,73,34,,
Yellow,#ECD540,236,213,64,52,82,59,,
Brown,#F4A460,244,164,96,28,87,67,,
Brown,#FDD9B5,253,217,181,30,95,85,,
Brown,#967117,150,113,23,43,73,34,,
Sangria,#92000A,146,0,10,356,100,29,,
Green,#507D2A,80,125,42,93,50,33,,
Sapphire,#0F52BA,15,82,186,216,85,39,,
Sapphire blue,#0067A5,0,103,165,203,100,32,,
Pink,#FF4681,255,70,129,341,100,64,,
Yellow,#CBA135,203,161,53,43,59,50,,
Scarlet,#FF2400,255,36,0,8,100,50,,
Scarlet,#FD0E35,253,14,53,350,98,52,,
Pink,#FF91AF,255,145,175,344,100,78,,
Yellow,#FFD800,255,216,0,51,100,50,,
Green,#66FF66,102,255,102,120,100,70,,
Sea blue,#006994,0,105,148,197,100,29,,
Green,#9FE2BF,195,226,191,149,38,82,,
Green,#2E8B57,46,139,87,146,50,36,,
Blue,#4BC7CF,75,199,207,184,58,55,,
Brown,#59260B,50,20,20,0,43,14,,
White,#FFF5EE,255,245,238,25,100,97,,
Yellow,#FFBA00,255,186,0,44,100,50,,
Brown,#704214,112,66,20,30,70,26,,
Brown,#8A795D,138,121,93,37,19,45,,
Blue,#778BA5,119,139,165,214,20,56,,
Pink,#FFCFF1,255,207,241,318,100,91,,
Green,#009E60,0,158,96,156,100,31,,
Green,#8FD400,143,212,0,80,100,42,,
Pink,#D98695,217,134,149,349,52,69,,
Green,#5FA778,95,167,120,141,29,51,,
Pink,#FC0FC0,252,15,192,315,98,52,,
Pink,#FF6FFF,255,111,255,300,100,72,,
Sienna,#882D17,136,45,23,12,71,31,,
Silver,#C0C0C0,192,192,192,0,0,75,,
Gray,#ACACAC,172,172,172,0,0,67,,
Blue,#5D89BA,93,137,186,212,40,55,,
Pink,#C4AEAD,196,174,173,3,16,72,,
Gray,#BFC1C2,191,193,194,200,2,75,,
Red,#CB410B,203,65,11,17,90,42,,
Red,#FF3855,255,56,85,351,100,61,,
Yellow,#FFDB00,255,219,0,52,100,50,,
Blue,#007474,0,116,116,180,100,23,,
Blue,#87CEEB,135,206,235,197,71,73,,
Pink,#CF71AF,207,113,175,320,49,63,,
Purple,#6A5ACD,106,90,205,248,53,58,,
Gray,#708090,112,128,144,210,13,50,,
Blue,#003399,0,51,153,220,100,30,,
Green,#299617,41,150,23,111,73,34,,
Orange,#FF6D3A,255,109,58,16,100,61,,
Pink,#C84186,200,65,134,329,55,52,,
Gray,#738276,115,130,118,132,6,48,,
Brown,#832A0D,131,42,34,15,59,32,,
Black,#100C08,16,12,8,30,33,5,,
Red,#933D41,147,61,65,357,41,41,,
White,#FFFAFA,255,250,250,0,100,99,,
Purple,#CEC8EF,206,200,239,249,55,86,,
Red,#893843,137,56,67,352,42,38,,
Gray,#757575,117,117,117,0,0,46,,
Red,#9E1316,158,19,22,359,79,35,,
Blue,#1D2951,29,41,81,226,47,22,,
Brown,#807532,128,117,50,52,44,35,,
Blue,#0070B8,0,112,184,203,100,36,,
Red,#D10047,209,0,71,340,100,41,,
Red,#E51A4C,229,26,76,345,80,50,,
Gray,#989898,152,152,152,0,0,60,,
Green,#009150,0,145,80,153,100,28,,
Orange,#E86100,232,97,0,25,100,45,,
Pink,#F7BFBE,247,191,190,1,78,86,,
Red,#E60026,230,0,38,350,100,45,,
Blue,#00FFFF,0,255,255,180,100,50,,
Purple,#4C2882,76,40,130,264,53,33,,
Green,#007F5C,0,127,92,163,100,25,,
Brown,#8B5f4D,139,95,77,17,29,42,,
Blue,#0FC0FC,15,192,252,195,98,52,,
Green,#A7FC00,167,252,0,80,100,49,,
Green,#87FF2A,135,255,42,94,100,58,,
Green,#00FF7F,0,255,127,150,100,50,,
Blue,#007BB8,0,123,184,200,100,36,,
Blue,#4682B4,70,130,180,207,44,49,,
Pink,#CC33CC,204,51,204,300,60,50,,
Blue,#5F8A8B,95,138,139,181,19,46,,
Yellow,#FADA5E,250,218,94,48,94,67,,
Red,#990000,153,0,0,0,100,30,,
Gray,#4F666A,79,102,106,189,15,36,,
Yellow,#E4D96F,228,217,111,54,68,66,,
Pink,#FC5A8D,252,90,141,341,96,67,,
Purple,#914E75,145,78,117,325,30,44,,
Red,#FF404C,255,64,76,356,100,63,,
Yellow,#FFCC33,255,204,51,45,100,60,,
Yellow,#F2F27A,242,242,122,60,82,71,,
Yellow,#E3AB57,227,171,87,36,71,62,,
Orange,#FAD6A5,250,214,165,35,89,81,,
Orange,#FD5E53,253,94,83,4,98,66,,
Pink,#CF6BA9,207,107,169,323,51,62,,
Red,#A83731,168,55,49,3,55,43,,
Brown,#D2B48C,210,180,140,34,44,69,,
Orange,#F94D00,249,77,0,19,100,49,,
Orange,#F28500,242,133,0,33,100,47,,
Yellow,#FFCC00,255,204,0,48,100,50,,
Pink,#E4717A,228,113,122,355,68,67,,
Red,#FB4D46,251,77,70,2,96,63,,
Brown,#483C32,72,60,50,27,18,24,,
Gray,#8B8589,139,133,137,320,3,53,,
Green,#D0F0C0,208,240,192,100,62,85,,
Pink,#F88379,248,131,121,5,90,72,,
Pink,#F4C2C2,244,194,194,0,69,86,,
Blue,#008080,0,128,128,180,100,25,,
Blue,#367588,54,117,136,194,43,37,,
Green,#99E6B3,153,230,179,140,61,75,,
Green,#00827F,0,130,127,179,100,25,,
Pink,#CF3476,207,52,118,334,62,51,,
Orange,#CD5700,205,87,0,25,100,40,,
Red,#E2725B,226,114,91,10,70,62,,
Purple,#D8BFD8,216,191,216,300,24,80,,
Pink,#DE6FA1,222,111,161,333,63,65,,
